sku,imagen
262150,"https://source.unsplash.com/400x400/?Aerosol,Negro,Mate,Ultra,Cover,Rust-oleum,-ferreteria,Armhel"
TB41096,"https://source.unsplash.com/400x400/?Mecha,Alta,Hss,Largas,Lenox,4,X,119mm."
86404,"https://source.unsplash.com/400x400/?Llave,De,Crique,Stanley,Enc.,1/2,10,"
18011,"https://source.unsplash.com/400x400/?Juego,De,Macho,Bsw,3/4,X,10,Hilos,,3,Pzs,-,Tres,Triangulos"
CIDLI20668,"https://source.unsplash.com/400x400/?Taladro,Atornillador,Inalámbrico,Ingco,66nm"
43630090,"https://source.unsplash.com/400x400/?Multimetro,Digital,De,Gancho,Truper"
180811,"https://source.unsplash.com/400x400/?Dado,Terraja,3,Triangulos,3x0.5mm,C1,,"
iw939,"https://source.unsplash.com/400x400/?Mecha,Concreto,Irwin,8x330mm,5/16,,En,Pvc"
CH20-2,"https://source.unsplash.com/400x400/?Cargador,20volt,2,2amp,Neo,Chn20-2"
CWLI20885,"https://source.unsplash.com/400x400/?Linterna,2000,Lumens,20v,S/bateria,Cwli2088,Ingco,Linterna,A,Blanca,Amarillo"
1808199,"https://source.unsplash.com/400x400/?Dado,Terraja,Trestriangulos,12.0x1.25mm,C.1.1/2"
277-1001,"https://source.unsplash.com/400x400/?Cepilladora,Eléctrica,Makita,Kp0800,,Gafas,Y,Guante,Protector,,Color,Turquesa,"
280140,"https://source.unsplash.com/400x400/?Aerosol,R.oleum,Para,Maquinaria,Caterpiler"
015-75752,"https://source.unsplash.com/400x400/?Mecha,Sierra,Copa,Tolsen,Bi-metal,52mm,Corte,De,38mm,-,Sc"
DBC0512801,"https://source.unsplash.com/400x400/?Cincel,Encastre,Hexagonal,17x280mm,Demoledor,Pdb13008"
548-0900,"https://source.unsplash.com/400x400/?Mecha,Starrett,Dch0134-g,Sierra,Copa,44mm"
441-1020,"https://source.unsplash.com/400x400/?Lija,Para,Madera,Norton,Grano,50,X10un"
84-022,"https://source.unsplash.com/400x400/?Alicate,Electricista,Stanley,#7,(84-022la)"
44912,"https://source.unsplash.com/400x400/?Escuadra,Magnetica,Para,Soldadura,125,Mm,34kg,Tolsen"
80-223,"https://source.unsplash.com/400x400/?Llave,Combinada,Stanley,11mm,Stmt80220,Cr-v,Cromada,Plateado"
86-406,"https://source.unsplash.com/400x400/?Barra,Extension,Stanley,Enc.,1/2,2.5,"
,"https://source.unsplash.com/400x400/?,Macho,Semiconico,1/4,X,20,Hilos,(1,Unidad),Tres,Triangulos"
1808182,"https://source.unsplash.com/400x400/?Dado,Terraja,3,Triangulo,10x1.25mm,C.1,,-,Ferretería,Armhel,"
Tb816/2/220/50,"https://source.unsplash.com/400x400/?Taladro,De,Banco,Gladiator,Pro,-,16mm,-,Tb816/2/220/50,Color,Gris"
430240,"https://source.unsplash.com/400x400/?Rollo,Nylon,Desplegable,Con,Cinta,36m,1.8x20m"
272072,"https://source.unsplash.com/400x400/?Pintura,Aerosol,Antióxido,Metal,Protection,340,Gr,Rust,Oleum,Color,Negro,Brillante"
Hkts12122,"https://source.unsplash.com/400x400/?Juego,12,Dados,Tubo,Llave,Crique,1/2,Hkts12122,-,Smf,Negro"
86-213,"https://source.unsplash.com/400x400/?Llave,De,Apriete,Stanley,86-213,Tubo,8,,Cromo,Vanadio"
015-75865,"https://source.unsplash.com/400x400/?Set,Sierra,Copa,Bimetalica,11pcs,19-64"
180309,"https://source.unsplash.com/400x400/?Juego,De,Macho,Unf,7/8,X,14,Hilos,,3,Pzs,-,Tres,Triangulos,"
019-6128,"https://source.unsplash.com/400x400/?Taladro,De,Impacto,20v,13mm,Hyundai"
CACLI2012,"https://source.unsplash.com/400x400/?Compresor,De,Aire,160psi,11bar,P20s,S/bat,Ingco"
377245,"https://source.unsplash.com/400x400/?Aerosol,R.oleum,P/telas,Fabric,Borravino,340g"
